date,test_item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019/10/01 00:00:00,AMB_TEMP,24.7,25.1,25.4,25.5,25.3,25.1,24.6,24.6,25.1,26.8,28.5,30.1,31.2,32.2,32.4,31.9,30.4,29.1,28.7,28.3,28,27.4,27,26.5
2019/10/01 00:00:00,CH4,1.66,1.66,1.7,1.71,1.72,1.71,1.75,1.76,1.73,1.73,1.72,1.7,1.69,1.7,1.69,1.72,1.74,1.74,1.78,1.82,1.82,1.83,1.93,1.96
2019/10/01 00:00:00,CO,0.05,0.13,0.15,0.17,0.16,0.16,0.22,0.42,0.36,0.29,0.27,0.28,0.26,0.25,0.27,0.32,0.36,0.39,0.49,0.57,0.58,0.6,0.69,0.49
2019/10/01 00:00:00,NMHC,0,0,0,0.02,0.02,0.01,0.03,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.1,0.08,0.08,0.13,0.21,0.22,0.21,0.22,0.17
2019/10/01 00:00:00,NO,0,0.3,0.3,0.3,0.3,0.3,1.2,5.3,5.6,4.8,4.6,3.7,2.6,2.6,1.6,1.1,0.8,0.6,0.6,0.7,0.6,2,5.1,3.8
2019/10/01 00:00:00,NO2,1.3,1.1,1.3,1.8,2.1,2.3,6.1,9.9,7.4,6,6.1,5.7,5.6,5.9,5.9,8.3,10.1,9.6,14.9,19.5,22.2,26.7,24,15.7
2019/10/01 00:00:00,NOx,1.2,1.2,1.7,2.1,2.4,2.7,7.3,15.2,12.9,10.8,10.7,9.4,8.2,8.5,7.4,9.4,10.8,10.3,15.5,20.2,22.8,28.6,29.1,19.5
2019/10/01 00:00:00,O3,16.7,17.3,21.9,21.5,18.8,17.5,11.8,8.2,10.4,13.2,16.6,23.8,23.1,27.7,41,54.1,57.7,49.3,39.1,30.8,23.3,13.1,7.5,5.5
2019/10/01 00:00:00,PM10,18,18,29,29,27,19,23,13,10,13,15,21,11,43,17,23,47,53,47,35,33,21,22,14
2019/10/01 00:00:00,PM2.5,2,4,6,9,10,7,4,6,7,6,4,2,3,4,3,8,19,17,19,19,19,14,17,8
