AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
24.7,1.66,0.05,0.0,0.0,1.3,1.2,16.7,18.0,2.0,0.0,89.0,1.1,1.65,292.0,283.0,2.1,0.9
25.1,1.66,0.13,0.0,0.3,1.1,1.2,17.3,18.0,4.0,0.0,87.0,1.3,1.65,286.0,289.0,1.4,1.1
25.4,1.7,0.15,0.0,0.3,1.3,1.7,21.9,29.0,6.0,0.0,85.0,1.4,1.7,291.0,276.0,2.0,1.8
25.5,1.71,0.17,0.02,0.3,1.8,2.1,21.5,29.0,9.0,0.0,84.0,1.5,1.73,286.0,289.0,2.5,2.2
25.3,1.72,0.16,0.02,0.3,2.1,2.4,18.8,27.0,10.0,0.0,85.0,1.5,1.74,268.0,250.0,1.8,1.8
25.1,1.71,0.16,0.01,0.3,2.3,2.7,17.5,19.0,7.0,0.0,86.0,1.6,1.72,277.0,262.0,2.4,1.9
24.6,1.75,0.22,0.03,1.2,6.1,7.3,11.8,23.0,4.0,0.0,88.0,1.8,1.78,247.0,239.0,2.0,2.0
24.6,1.76,0.42,0.08,5.3,9.9,15.2,8.2,13.0,6.0,0.0,90.0,2.0,1.84,203.0,183.0,1.7,1.0
25.1,1.73,0.36,0.08,5.6,7.4,12.9,10.4,10.0,7.0,0.0,85.0,1.9,1.81,193.0,187.0,2.3,1.5
26.8,1.73,0.29,0.08,4.8,6.0,10.8,13.2,13.0,6.0,0.0,75.0,1.9,1.81,200.0,196.0,2.8,2.0
28.5,1.72,0.27,0.08,4.6,6.1,10.7,16.6,15.0,4.0,0.0,67.0,1.8,1.8,197.0,194.0,2.6,1.7
30.1,1.7,0.28,0.07,3.7,5.7,9.4,23.8,21.0,2.0,0.0,59.0,2.2,1.77,196.0,196.0,3.4,2.1
31.2,1.69,0.26,0.07,2.6,5.6,8.2,23.1,11.0,3.0,0.0,53.0,2.0,1.76,196.0,219.0,2.5,1.6
32.2,1.7,0.25,0.07,2.6,5.9,8.5,27.7,43.0,4.0,0.0,51.0,2.4,1.77,214.0,244.0,3.5,1.7
32.4,1.69,0.27,0.07,1.6,5.9,7.4,41.0,17.0,3.0,0.0,51.0,2.0,1.76,241.0,244.0,3.3,2.1
31.9,1.72,0.32,0.1,1.1,8.3,9.4,54.1,23.0,8.0,0.0,56.0,2.5,1.82,243.0,250.0,3.6,2.2
30.4,1.74,0.36,0.08,0.8,10.1,10.8,57.7,47.0,19.0,0.0,64.0,3.1,1.82,249.0,247.0,4.9,3.8
29.1,1.74,0.39,0.08,0.6,9.6,10.3,49.3,53.0,17.0,0.0,66.0,2.8,1.82,248.0,250.0,4.4,4.0
28.7,1.78,0.49,0.13,0.6,14.9,15.5,39.1,47.0,19.0,0.0,66.0,3.6,1.91,251.0,250.0,2.8,2.8
28.3,1.82,0.57,0.21,0.7,19.5,20.2,30.8,35.0,19.0,0.0,68.0,3.5,2.03,245.0,240.0,1.7,1.5
28.0,1.82,0.58,0.22,0.6,22.2,22.8,23.3,33.0,19.0,0.0,70.0,4.4,2.04,128.0,65.0,1.2,0.5
27.4,1.83,0.6,0.21,2.0,26.7,28.6,13.1,21.0,14.0,0.0,72.0,3.1,2.04,186.0,89.0,0.5,0.4
27.0,1.93,0.69,0.22,5.1,24.0,29.1,7.5,22.0,17.0,0.0,74.0,2.7,2.15,176.0,178.0,0.9,0.7
26.5,1.96,0.49,0.17,3.8,15.7,19.5,5.5,14.0,8.0,0.0,74.0,2.5,2.13,178.0,176.0,1.1,0.9
26.0,1.95,0.4,0.13,3.8,11.6,15.5,4.3,15.0,11.0,0.0,73.0,1.6,2.08,178.0,166.0,0.7,0.6
25.7,1.94,0.31,0.11,0.9,10.7,11.6,6.2,19.0,9.0,0.0,74.0,1.8,2.05,171.0,176.0,0.5,0.5
25.3,2.18,0.35,0.22,6.9,12.9,19.8,1.6,19.0,9.0,0.0,77.0,1.8,2.4,169.0,170.0,0.5,0.6
25.2,1.99,0.3,0.19,10.3,14.8,25.1,2.1,21.0,9.0,0.0,77.0,2.1,2.18,94.0,78.0,0.9,0.5
25.2,1.9,0.25,0.13,5.8,17.1,22.9,3.0,22.0,10.0,0.0,76.0,1.9,2.03,88.0,98.0,0.9,0.5
